Year,Sardine,Anchovy,BlueWhiting,Mackerel,HorseMackerel,Sole,Seabass,Hake,Anglerfish,Albacore
2000,136903.71,33459.29,1055.78,9093.29,57449.36,11741,16362,5668.3,6749.82,80152.4
2001,154564.75,32513.49,1141.25,8615.44,52108.28,10500,17519,5914.89,5990.69,84483.7
2002,167038.98,13742.14,1347.24,8240.69,46426.9,9760,18783,5822.93,5264.02,91182.3
2003,175587,9804.11,1714.78,7997.64,43072.63,9559,19638,6075.18,4775.55,93291.7
2004,146700.34,10926.24,1690.56,10463.77,43243.14,11026,20089,6456.67,5290.52,86945
2005,174223.78,5108.63,1504.37,9646.17,50279.08,11362,20323,6230.68,5142.39,81526.4
2006,153325.1,6969.62,1469.48,8996.86,52362.21,11912,20009,6630.3,7340.42,79084
2007,137300.31,10497.06,1165.71,9551.15,50162.08,10836,19823,9279.44,8037.91,82318.2
2008,157189.54,8364.64,896.36,11234.52,47618.32,10727,19934,11896.95,8187.68,84953.2
2009,134102.53,6981.65,686.94,13961.22,43674.98,10512,20197,18169.98,9697.45,92786.4
2010,149742.66,17217.85,671.05,15651.16,38357.89,12338,20420,29273.19,10104.48,103028
2011,120516.2,42265.5,677.82,18072.33,34272.71,14138,20149,36752.35,9795.86,107772
2012,88266.24,34877.99,867.06,16952.02,32480.78,13860,19446,36804.42,9632.24,111869
2013,94336.24,24546.7,948.56,18878.9,29643.05,13015,18749,36081.76,10107.76,118659
2014,98061.67,30830.65,1008.89,23663.75,25093.48,10462,17989,38736.12,11235.36,127193
2015,87982.53,45986.76,1052.08,23785.89,21278.87,10229,16513,42620.39,11904.56,132657
2016,80717.92,35083.47,1240.64,22458.77,20001.24,10530,15608,41850.44,12279.44,136621
2017,101548.74,31642.38,1546.25,21682.31,19480.53,11411,15314,36425.4,12454.97,136404
2018,87979.74,44470.05,1519.05,18723.85,20970.57,12097,15418,31716.34,12727.11,132673
2019,71227.12,39139.91,1318,15828.4,22304.31,11534,15701,29826.28,15198.78,133780
2020,85151.67,56598.95,1117.52,14322.97,23084.6,10685,16233,28976.84,16111.11,144524
2021,53220.59,68135.8,1107.5,15612.2,25614.41,10748,16727,28277.1,16351.69,171966
2022,71388.85,50014.42,1236.05,15121.88,27300.18,9405,16993,26607.66,15873.79,NA
