species_name,fshsp0,fshsp1,fshsp2,fshsp3,fshsp4,fshsp5,fshsp6,fshsp7,fshsp8,fshsp9,fshsp10,fshsp11,fshsp12,fshsp13,fshsp14,fshsp15,fshsp16,fshsp17
Sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlueWhiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HorseMackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boarfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pouting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anglerfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NorwayLobster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuttlefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LesserSpottedDogfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albacore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
