Year,Sardine,Anchovy,Sprat,BlueWhiting,Whiting,Mackerel,HorseMackerel,Boarfish,Pouting,Sole,Seabass,Hake,Anglerfish,NorwayLobster,Cuttlefish,Squid,LesserSpottedDogfish,Albacore
2000,15044.2209589712,13478.0039987432,NA,352.287079709751,1397.40649324436,2963.15803071959,7482.60454829842,NA,2737,5811,2362,6401.40634432376,3140.72553763922,4524,5692.7,1790,NA,1678
2001,14952.5425905387,14627.4634412483,NA,441.916139460706,2201.30125075302,2958.57251472174,8455.11578107428,2.85535318547006,2540,4875,2306,5625.21896247254,3427.31525417105,6267,5289.67,1101,NA,1697
2002,18213.1036939205,6378.31583516239,10,388.329157505507,2126.99165131945,3094.8100805758,7238.56324611944,2.16530949898147,3744,5508,2392,6356.43940573773,4256.11782660362,6299,3224.18,1111,NA,2765
2003,16548.9420060698,3860.07061595622,NA,589.947901192884,2365.36140534663,2725.18058235842,7081.18391876143,270.94922269123,3227,4129,2616,6804.94835447329,5775.56439643419,5863,1511.34,1914,NA,2444
2004,14147.3673547403,5960.79427538081,NA,598.796175672022,2143.39766677881,2649.77431928256,5896.04081335201,122.566035486302,1941,4002,2380,7192.099190235,5903.30152723124,5503,6700.25,1916,NA,2671
2005,16302.8055169086,410.963629523229,5,503.40685830759,2008.28930417231,2204.5540140384,6717.44722290936,141.815874878347,2105,4539,2796,7355.86587947253,5641.42552131981,6689,8161.21,2093,132.025426445224,7378
2006,16682.4735426997,638.669541271472,2,487.916890821774,1791.15086426901,1930.41397494697,5751.39503851241,169.845925315711,2055.11,4793,2875,6396.18437726216,5267.14679541799,7991,4438.1,1207,132.108097344689,4674.01
2007,17262.4388734357,51.3704536904036,0.11,402.125342378068,1852.91468717484,2351.75589767212,4552.92783901851,513.392502747517,1727.5,4363,2751,6961.46231168082,5813.67710678856,5587,6416.8,2322.72,139.796490994912,2226.1
2008,21744.7138865809,0,0.11,312.231403060735,931.282642251936,2500.02893858617,5290.84643467253,826.862693292373,571.62,4299,2745,7569.09620115471,5512.94400164866,5153,4299.8,1541.92,154.015885702851,580.7
2009,20782.0910180397,0,3.41,158.373537947167,1314.41135621465,2960.60249818186,6783.18188098268,2150.31889475775,1897.91,3650,2278,9652.66105873479,5108.44308745802,4820,4026.81,1877.51,131.116046551112,122.7
2010,20056.6361026173,3758.7870264106,204.1,134.569544599146,2261.13495419304,3519.46175894244,7496.62991049262,3427.54216922839,1579.2,3966,2229,11846.467443171,5203.12935224464,4673,3948.2,3147,116.979322742638,228.2
2011,23126.8649411012,5293.70703632316,71.48,25.8821256898908,2067.49571878594,3807.07350645101,7149.17001655539,882.708642678191,1640.22,4632,2575,14307.7545848737,5479.89313563824,4822,5835.53,2964.61,109.952296288133,939.41
2012,30791.9737452614,5247.07286559712,170.33,93.7035160563785,1841.64278949452,3608.84120856294,6269.2630831091,2078.57814597281,1131.96,4321,2549,13810.7973861777,6015.55536944682,3532,6180.38,4484.93,117.227335441032,2332.74
2013,32822.8489068421,5170.56367924971,0.14,153.107123593041,1932.31015140081,3764.29140443777,6099.48238286359,1794.35153096915,1082.72,4235,2685,12613.3713280238,6707.68814459305,3901,4611.58,1563.26,79.364063486171,118.52
2014,35579.1789838451,7332.49468775223,0.49,286.242028582197,1594.29797995134,5623.72817113097,5032.89049684299,1076.2539994333,1371.76,3928,2991,14634.852799427,6362.29170700663,4133,3787.95,1788.58,69.2782137514701,345.59
2015,28655.4691591824,10295.221846691,0.17,346.851561451665,2123.41127971038,4877.68517858738,3632.53189944845,422.758833718722,1226.61,3706,2332,15472.2532396115,6147.46107793888,5391,4749.39,2585.34,73.7424423225673,1150.85
2016,29649.980155874,7530.6899133379,3.05,294.506670118467,2437.91459606632,4413.54911837394,3647.00016781719,459.592889811286,1079.01,3366,2317,17350.2756714612,6748.4806548942,6622,4535.93,2056.5,82.836241263691,1710.91
2017,30328.5993830754,9636.51418518565,0.54,387.858759330187,1858.60853959897,4652.27677801385,3061.99492892777,413.740676574612,1045.15,3299,2491,16726.1055529589,6144.03688911798,5799,3648.01,1406.17,98.79172486039,2169.18
2018,32186.0828478381,11211.5104355659,4.68,426.465080837748,1511.07122858574,4104.67469825938,3752.96547007912,268.54596709346,1171.89,3732,2493,14426.989499447,5121.54433164233,3696,2608.67,1061.94,90.3592931149843,1742.38
2019,24493.0719315463,9784.79627491611,0.01,377.123155586655,1347.96648312771,3368.83778856667,4611.64981599473,269.18842156019,1291.08,3488,2410,13113.8098380942,4909.24462474655,2788,3158.52,1020.9,79.1160507877768,1602.58
2020,31258.3376194615,9408.07961451981,6.32,364.273503627847,1082.43029761929,4170.3442620117,2820.64797264399,372.361849995175,1224.97,3293,2131,11404.4859532624,4615.50877502327,4181,2406.21,1086.66,58.0349714242626,4043.56
2021,26106.4119151572,10194.6669160629,0.03,284.217021803075,1227.39192009874,4338.9492321271,3010.17490650501,420.998032587682,1133.78,3110,2228,10552.2899397367,5212.21089650877,4132,3439.93,1322.12,43.89941,1745.28
2022,26267.8455639188,9288.94388149313,NA,276.235217769888,1155.85204209859,4199.25748493082,2587.82696022037,425.852133002981,NA,2343,2066,10387.6529226556,5284.26773952248,NA,NA,NA,NA,NA
